Writer_ID,Epsilon_Cohesion,Epsilon_Alpha_Distance,Num_Epsilon,Num_Alpha
TM_60896(a),0.96969247,0.03891640901565552,6,10
TM_60214,0.9221189,0.034269511699676514,6,5
TM_60253,0.98103553,0.030307412147521973,10,5
TM_60682,0.9664259,0.021303534507751465,9,6
TM_60940,0.9642901,0.01938110589981079,6,8
TM_61168,0.93012714,0.015510141849517822,9,6
TM_60479,0.983588,0.015207290649414062,13,5
TM_60220,0.95969963,0.014391303062438965,16,7
TM_61245,0.9646532,0.013986766338348389,8,6
TM_60600,0.9749527,0.013678669929504395,15,11
TM_60304,0.9519335,0.012819468975067139,16,13
TM_60489,0.9599745,0.011861801147460938,9,13
TM_61124,0.9625078,0.011628925800323486,21,21
TM_60421,0.95240635,0.010806083679199219,13,13
TM_60997,0.987477,0.01015615463256836,7,9
TM_60221,0.9672878,0.009410858154296875,13,14
TM_60368,0.9680975,0.009295642375946045,19,9
TM_827766,0.99212044,0.009165942668914795,6,8
TM_60901,0.9773291,0.00897681713104248,12,7
TM_61122,0.96073514,0.0084991455078125,25,23
TM_61051,0.9734176,0.0071721673011779785,20,12
TM_60558,0.981377,0.006768584251403809,10,9
TM_60965,0.9853868,0.006605863571166992,7,7
TM_61167,0.94207233,0.0062770843505859375,23,34
TM_60666,0.98546827,0.006233096122741699,13,6
TM_61175,0.97727114,0.005877792835235596,8,16
TM_60358,0.9587839,0.005752861499786377,22,15
TM_60400,0.96620405,0.005631089210510254,7,7
TM_60487,0.9854059,0.005583286285400391,10,10
TM_60367,0.9775272,0.005258738994598389,6,6
TM_60326(b),0.9752019,0.0051076412200927734,31,25
TM_60633,0.9928436,0.0043953657150268555,21,17
TM_61236,0.98212093,0.004373013973236084,18,18
TM_61106,0.9723657,0.0040302276611328125,17,13
TM_60411,0.9916681,0.0038985610008239746,19,15
TM_60560,0.98553723,0.0038583874702453613,16,25
TM_60329,0.97841805,0.0037424564361572266,8,14
TM_60670,0.9896447,0.0030771493911743164,20,10
TM_61117,0.9799219,0.0030396580696105957,29,25
TM_60740,0.9875269,0.0028801560401916504,13,19
TM_61228,0.9864352,0.002764105796813965,9,11
TM_60571,0.9564487,0.0027136802673339844,21,16
TM_60306,0.97217745,0.0026589632034301758,148,133
TM_60891,0.9567633,0.0025331974029541016,86,82
TM_60462,0.98282474,0.002506434917449951,41,27
TM_60855,0.97866607,0.0024837255477905273,11,8
TM_61141,0.9738996,0.0019538402557373047,11,36
TM_60457,0.98969686,0.001851499080657959,22,7
TM_66764,0.98843426,0.0018100142478942871,16,12
TM_60847,0.98484725,0.0016382932662963867,17,17
TM_60659,0.97759223,0.0015311241149902344,17,13
TM_61020,0.979055,0.0014590024948120117,39,42
TM_60650,0.97982323,0.0013979077339172363,26,19
TM_60734,0.9845046,0.0010556578636169434,35,34
TM_61073,0.976238,0.001035928726196289,51,45
TM_60732,0.98317033,0.001023411750793457,30,28
TM_60761,0.98680633,0.000962674617767334,7,9
